gameId	playId	playType	season	seasonType	week	preSnapHomeScore	preSnapVisitorScore	playDirection	quarter	gameClock	down	yardsToGo	yardline	yardlineSide	yardlineNumber	absoluteYardlineNumber	possessionFlag	homeTeamFlag	teamAbbr	frame	displayName	esbId	gsisId	jerseyNumber	nflId	position	positionGroup	time	x	y	s	o	dir	event	playDescription
2019111705	3426	play_type_pass	2019	REG	11	13	23	right	4	10:29	3	2	MIN 46	MIN	46	56	1.0	1.0	MIN	0	Kirk Cousins	COU709400	00-0029604	8.0	2532820.0	QB	QB	2019-11-17 20:34:19.900	51.0	29.47	1.39	84.93	18.95		(10:29) (No Huddle, Shotgun) K.Cousins pass deep middle to S.Diggs for 54 yards, TOUCHDOWN.
2019111705	3426	play_type_pass	2019	REG	11	13	23	right	4	10:29	3	2	MIN 46	MIN	46	56	1.0	1.0	MIN	1	Kirk Cousins	COU709400	00-0029604	8.0	2532820.0	QB	QB	2019-11-17 20:34:20.000	51.05	29.59	1.34	88.14	21.87	line_set	(10:29) (No Huddle, Shotgun) K.Cousins pass deep middle to S.Diggs for 54 yards, TOUCHDOWN.
2019111705	3426	play_type_pass	2019	REG	11	13	23	right	4	10:29	3	2	MIN 46	MIN	46	56	1.0	1.0	MIN	2	Kirk Cousins	COU709400	00-0029604	8.0	2532820.0	QB	QB	2019-11-17 20:34:20.100	51.1	29.71	1.23	88.89	24.46		(10:29) (No Huddle, Shotgun) K.Cousins pass deep middle to S.Diggs for 54 yards, TOUCHDOWN.
2019111705	3426	play_type_pass	2019	REG	11	13	23	right	4	10:29	3	2	MIN 46	MIN	46	56	1.0	1.0	MIN	3	Kirk Cousins	COU709400	00-0029604	8.0	2532820.0	QB	QB	2019-11-17 20:34:20.200	51.14	29.81	1.04	88.89	25.89		(10:29) (No Huddle, Shotgun) K.Cousins pass deep middle to S.Diggs for 54 yards, TOUCHDOWN.
2019111705	3426	play_type_pass	2019	REG	11	13	23	right	4	10:29	3	2	MIN 46	MIN	46	56	1.0	1.0	MIN	4	Kirk Cousins	COU709400	00-0029604	8.0	2532820.0	QB	QB	2019-11-17 20:34:20.300	51.19	29.89	0.86	88.89	31.0		(10:29) (No Huddle, Shotgun) K.Cousins pass deep middle to S.Diggs for 54 yards, TOUCHDOWN.
2019111705	3426	play_type_pass	2019	REG	11	13	23	right	4	10:29	3	2	MIN 46	MIN	46	56	1.0	1.0	MIN	5	Kirk Cousins	COU709400	00-0029604	8.0	2532820.0	QB	QB	2019-11-17 20:34:20.400	51.23	29.95	0.69	88.89	34.67		(10:29) (No Huddle, Shotgun) K.Cousins pass deep middle to S.Diggs for 54 yards, TOUCHDOWN.
2019111705	3426	play_type_pass	2019	REG	11	13	23	right	4	10:29	3	2	MIN 46	MIN	46	56	1.0	1.0	MIN	6	Kirk Cousins	COU709400	00-0029604	8.0	2532820.0	QB	QB	2019-11-17 20:34:20.500	51.26	30.0	0.51	86.16	38.58		(10:29) (No Huddle, Shotgun) K.Cousins pass deep middle to S.Diggs for 54 yards, TOUCHDOWN.
2019111705	3426	play_type_pass	2019	REG	11	13	23	right	4	10:29	3	2	MIN 46	MIN	46	56	1.0	1.0	MIN	7	Kirk Cousins	COU709400	00-0029604	8.0	2532820.0	QB	QB	2019-11-17 20:34:20.600	51.29	30.03	0.35	84.65	52.58		(10:29) (No Huddle, Shotgun) K.Cousins pass deep middle to S.Diggs for 54 yards, TOUCHDOWN.
2019111705	3426	play_type_pass	2019	REG	11	13	23	right	4	10:29	3	2	MIN 46	MIN	46	56	1.0	1.0	MIN	8	Kirk Cousins	COU709400	00-0029604	8.0	2532820.0	QB	QB	2019-11-17 20:34:20.700	51.32	30.04	0.25	83.91	64.74		(10:29) (No Huddle, Shotgun) K.Cousins pass deep middle to S.Diggs for 54 yards, TOUCHDOWN.
2019111705	3426	play_type_pass	2019	REG	11	13	23	right	4	10:29	3	2	MIN 46	MIN	46	56	1.0	1.0	MIN	9	Kirk Cousins	COU709400	00-0029604	8.0	2532820.0	QB	QB	2019-11-17 20:34:20.800	51.34	30.05	0.16	81.5	71.81		(10:29) (No Huddle, Shotgun) K.Cousins pass deep middle to S.Diggs for 54 yards, TOUCHDOWN.
2019111705	3426	play_type_pass	2019	REG	11	13	23	right	4	10:29	3	2	MIN 46	MIN	46	56	1.0	1.0	MIN	10	Kirk Cousins	COU709400	00-0029604	8.0	2532820.0	QB	QB	2019-11-17 20:34:20.900	51.35	30.05	0.09	79.18	82.21		(10:29) (No Huddle, Shotgun) K.Cousins pass deep middle to S.Diggs for 54 yards, TOUCHDOWN.
2019111705	3426	play_type_pass	2019	REG	11	13	23	right	4	10:29	3	2	MIN 46	MIN	46	56	1.0	1.0	MIN	11	Kirk Cousins	COU709400	00-0029604	8.0	2532820.0	QB	QB	2019-11-17 20:34:21.000	51.36	30.05	0.06	79.18	124.48		(10:29) (No Huddle, Shotgun) K.Cousins pass deep middle to S.Diggs for 54 yards, TOUCHDOWN.
2019111705	3426	play_type_pass	2019	REG	11	13	23	right	4	10:29	3	2	MIN 46	MIN	46	56	1.0	1.0	MIN	12	Kirk Cousins	COU709400	00-0029604	8.0	2532820.0	QB	QB	2019-11-17 20:34:21.100	51.36	30.05	0.06	77.91	168.0		(10:29) (No Huddle, Shotgun) K.Cousins pass deep middle to S.Diggs for 54 yards, TOUCHDOWN.
2019111705	3426	play_type_pass	2019	REG	11	13	23	right	4	10:29	3	2	MIN 46	MIN	46	56	1.0	1.0	MIN	13	Kirk Cousins	COU709400	00-0029604	8.0	2532820.0	QB	QB	2019-11-17 20:34:21.200	51.36	30.04	0.07	77.26	182.25		(10:29) (No Huddle, Shotgun) K.Cousins pass deep middle to S.Diggs for 54 yards, TOUCHDOWN.
2019111705	3426	play_type_pass	2019	REG	11	13	23	right	4	10:29	3	2	MIN 46	MIN	46	56	1.0	1.0	MIN	14	Kirk Cousins	COU709400	00-0029604	8.0	2532820.0	QB	QB	2019-11-17 20:34:21.300	51.36	30.03	0.09	77.26	193.63		(10:29) (No Huddle, Shotgun) K.Cousins pass deep middle to S.Diggs for 54 yards, TOUCHDOWN.
2019111705	3426	play_type_pass	2019	REG	11	13	23	right	4	10:29	3	2	MIN 46	MIN	46	56	1.0	1.0	MIN	15	Kirk Cousins	COU709400	00-0029604	8.0	2532820.0	QB	QB	2019-11-17 20:34:21.400	51.36	30.02	0.09	76.22	199.28		(10:29) (No Huddle, Shotgun) K.Cousins pass deep middle to S.Diggs for 54 yards, TOUCHDOWN.
2019111705	3426	play_type_pass	2019	REG	11	13	23	right	4	10:29	3	2	MIN 46	MIN	46	56	1.0	1.0	MIN	16	Kirk Cousins	COU709400	00-0029604	8.0	2532820.0	QB	QB	2019-11-17 20:34:21.500	51.35	30.02	0.06	75.6	256.16		(10:29) (No Huddle, Shotgun) K.Cousins pass deep middle to S.Diggs for 54 yards, TOUCHDOWN.
