playKey	playDesc	team	season	week	gameId	playId
1	(:10) (Shotgun) C.Keenum pass deep right to S.Diggs for 61 yards, TOUCHDOWN. The Replay Official reviewed the runner was in bounds ruling, and the play was Upheld. The ruling on the field was confirmed.	MIN	2017	19	2018011401	4497
2	(12:20) S.Bradford pass deep left to R.Seals-Jones for 35 yards, TOUCHDOWN [A.Hicks].	ARI	2018	3	2018092311	141
3	(9:49) J.Rosen pass deep middle to C.Kirk for 75 yards, TOUCHDOWN. Caught at SF 22.  22-YAC	ARI	2018	5	2018100710	355
4	(7:03) D.Johnson up the middle pushed ob at OAK 17 for 53 yards (K.Joseph).	ARI	2018	11	2018111807	3385
5	(:27) (Shotgun) J.Rosen pass short left to C.Kirk for 59 yards, TOUCHDOWN.	ARI	2018	11	2018111807	973
6	(10:35) (Shotgun) J.Rosen pass deep right to D.Johnson ran ob at ATL 12 for 40 yards (D.Kazee).	ARI	2018	15	2018121600	322
7	(9:53) (Shotgun) R.Wilson pass short right intended for D.Moore INTERCEPTED by D.Amerson at ARZ 47. D.Amerson to SEA 28 for 25 yards (C.Carson).	ARI	2018	17	2018123015	322
8	(11:29) (Shotgun) M.Ryan pass short middle to M.Sanu for 43 yards, TOUCHDOWN.	ATL	2018	5	2018100707	1113
9	(7:55) T.Coleman right tackle for 30 yards, TOUCHDOWN.	ATL	2018	7	2018102200	3269
10	(13:56) M.Ryan pass deep left to J.Jones pushed ob at GB 28 for 19 yards (J.Alexander). Green Bay challenged the pass completion ruling, and the play was Upheld. The ruling on the field stands. (Timeout #2.)	ATL	2018	14	2018120903	166
11	(2:52) T.Coleman right end to ARZ 7 for 65 yards (T.Boston).	ATL	2018	15	2018121600	882
12	(6:21) (Shotgun) J.Rosen pass short right intended for D.Johnson INTERCEPTED by D.Jones (V.Beasley) at ARZ 41. D.Jones for 41 yards, TOUCHDOWN.	ATL	2018	15	2018121600	665
13	(15:00) (Shotgun) M.Ryan pass deep left to C.Ridley for 75 yards, TOUCHDOWN [M.Addison].	ATL	2018	16	2018122304	2305
14	(9:41) (Shotgun) J.Flacco pass deep right to J.Brown for 21 yards, TOUCHDOWN.	BAL	2018	2	2018091300	4157
