teams	color1	color1_family	color2
ARI	#97233F	red	#000000
ATL	#a71930	red	#000000
BAL	#241773	blue	#000000
BUF	#00338D	blue	#C60C30
CAR	#C60C30	light_blue	#101820
CHI	#0B162A	blue	#c83803
CIN	#fb4f14	red	#000000
CLE	#311D00	black	#ff3c00
DAL	#041E42	blue	#869397
DEN	#FB4F14	red	#002244
DET	#0076b6	light_blue	#B0B7BC
GB	#203731	green	#FFB612
HOU	#03202f	blue	#A71930
IND	#002C5F	blue	#A2AAAD
JAX	#006778	green	#D7A22A
KC	#E31837	red	#FFB81C
LA	#003594	blue	#ffd100
LAC	#0080C6	light_blue	#FFC20E
MIA	#008E97	green	#FC4C02
MIN	#4F2683	blue	#FFC62F
NE	#002244	blue	#C60C30
NO	#D3BC8D	yellow	#101820
NYG	#0B2265	blue	#a71930
NYJ	#125740	green	#000000
OAK	#000000	black	#A5ACAF
PHI	#004C54	green	#A5ACAF
PIT	#FFB612	yellow	#101820
SEA	#002244	blue	#69BE28
SF	#AA0000	red	#B3995D
TB	#D50A0A	red	#34302B
TEN	#0C2340	blue	#4B92DB
WAS	#773141	red	#FFB612
AFC	#D50A0A	red	#A5ACAF
NFC	#013369	blue	#A5ACAF
LV	#000000	black	#A5ACAF
